time,value,n
2006-01-01,58.23809523809524,42
2006-02-01,61.273809523809504,84
2006-03-01,50.94252873563219,87
2006-04-01,55.577777777777776,90
2006-05-01,43.47311827956988,93
2006-06-01,66.40625,96
2006-07-01,41.59595959595958,99
2006-08-01,34.07843137254902,102
2006-09-01,41.19999999999999,105
2006-10-01,47.574074074074076,108
2006-11-01,32.450450450450454,111
2006-12-01,49.06140350877194,114
2007-01-01,62.775862068965516,116
2007-02-01,50.440677966101696,118
2007-03-01,41.075,120
2007-04-01,48.17213114754098,122
2007-05-01,39.61290322580645,124
2007-06-01,37.08064516129032,124
2007-07-01,45.056451612903224,124
2007-08-01,44.13709677419355,124
2007-09-01,39.74193548387097,124
2007-10-01,44.33064516129032,124
2007-11-01,37.29032258064515,124
2007-12-01,22.185483870967733,124
2008-01-01,39.25,124
2008-02-01,42.00806451612903,124
2008-03-01,38.072580645161295,124
2008-04-01,39.44354838709677,124
2008-05-01,33.61290322580645,124
2008-06-01,25.669354838709683,124
2008-07-01,45.95967741935484,124
2008-08-01,33.12903225806452,124
2008-09-01,39.51612903225807,124
2008-10-01,23.338709677419345,124
2008-11-01,51.16935483870968,124
2008-12-01,36.741935483870975,124
2009-01-01,36.45967741935484,124
2009-02-01,60.75,124
2009-03-01,69.6532258064516,124
2009-04-01,57.725806451612904,124
2009-05-01,68.4274193548387,124
2009-06-01,57.483870967741936,124
2009-07-01,72.15322580645162,124
2009-08-01,54.201612903225794,124
2009-09-01,46.38709677419353,124
2009-10-01,49.60483870967743,124
2009-11-01,49.79032258064517,124
2009-12-01,32.75,124
2010-01-01,42.05645161290324,124
2010-02-01,55.77419354838709,124
2010-03-01,36.20967741935484,124
2010-04-01,38.701612903225815,124
2010-05-01,26.677419354838708,124
2010-06-01,50.766129032258064,124
2010-07-01,50.104838709677416,124
2010-08-01,48.903225806451616,124
2010-09-01,44.11290322580645,124
2010-10-01,45.06451612903225,124
2010-11-01,46.08064516129032,124
2010-12-01,25.895161290322573,124
2011-01-01,52.733870967741936,124
2011-02-01,39.685483870967744,124
2011-03-01,34.61290322580645,124
2011-04-01,43.44354838709679,124
2011-05-01,47.693548387096776,124
2011-06-01,35.17741935483871,124
2011-07-01,41.516129032258064,124
2011-08-01,37.693548387096776,124
2011-09-01,35.161290322580655,124
2011-10-01,32.75,124
2011-11-01,39.63709677419355,124
2011-12-01,29.475806451612904,124
2012-01-01,44.725806451612904,124
2012-02-01,35.346774193548384,124
2012-03-01,39.064516129032256,124
2012-04-01,45.21774193548387,124
2012-05-01,39.00806451612903,124
2012-06-01,42.016129032258064,124
2012-07-01,33.69354838709678,124
2012-08-01,45.78225806451613,124
2012-09-01,41.016129032258064,124
2012-10-01,43.677419354838726,124
2012-11-01,40.483870967741936,124
2012-12-01,27.49193548387096,124
2013-01-01,38.12903225806453,124
2013-02-01,31.830645161290317,124
2013-03-01,37.443548387096776,124
2013-04-01,46.41935483870968,124
2013-05-01,37.83064516129032,124
2013-06-01,35.709677419354826,124
2013-07-01,41.39516129032259,124
2013-08-01,43.91935483870968,124
2013-09-01,46.201612903225794,124
2013-10-01,38.87096774193548,124
2013-11-01,44.49193548387097,124
2013-12-01,32.088709677419345,124
2014-01-01,39.21774193548386,124
2014-02-01,39.104838709677416,124
2014-03-01,45.62096774193548,124
2014-04-01,41.45161290322581,124
2014-05-01,43.55645161290321,124
2014-06-01,47.46774193548387,124
2014-07-01,53.16129032258065,124
2014-08-01,41.653225806451616,124
2014-09-01,45.08064516129032,124
2014-10-01,42.854838709677416,124
2014-11-01,57.83870967741935,124
2014-12-01,39.54838709677419,124
2015-01-01,49.548387096774185,124
2015-02-01,43.548387096774185,124
2015-03-01,44.435483870967744,124
2015-04-01,39.774193548387096,124
2015-05-01,45.0241935483871,124
2015-06-01,48.072580645161274,124
2015-07-01,45.08064516129032,124
2015-08-01,53.17741935483871,124
2015-09-01,48.556451612903224,124
2015-10-01,43.435483870967744,124
2015-11-01,50.064516129032256,124
2015-12-01,48.21774193548387,124
2016-01-01,56.86290322580648,124
2016-02-01,51.57258064516129,124
2016-03-01,52.201612903225815,124
2016-04-01,52.1048387096774,124
2016-05-01,40.95967741935484,124
2016-06-01,43.42741935483873,124
2016-07-01,52.99193548387097,124
2016-08-01,48.58870967741934,124
2016-09-01,45.7983870967742,124
2016-10-01,40.895161290322584,124
2016-11-01,43.28225806451613,124
2016-12-01,38.76612903225805,124
2017-01-01,43.056451612903224,124
