id,time,value
trend,2006-01-01,45.011851888247804
trend,2006-01-02,44.98144158008625
trend,2006-01-03,44.95103127192469
trend,2006-01-04,44.920620963763135
trend,2006-01-05,44.890210655601585
trend,2006-01-06,44.85980034744002
trend,2006-01-07,44.82939003927847
trend,2006-01-08,44.798979731116916
trend,2006-01-09,44.76856942295536
trend,2006-01-10,44.73815911479381
trend,2006-01-11,44.707748806632246
trend,2006-01-12,44.6773384984707
trend,2006-01-13,44.64692819030914
trend,2006-01-14,44.61651788214758
trend,2006-01-15,44.586107573986034
trend,2006-01-16,44.55569726582447
trend,2006-01-17,44.52528695766292
trend,2006-01-18,44.494876649501364
trend,2006-01-19,44.46446634133981
trend,2006-01-20,44.43405603317825
trend,2006-01-21,44.4036457250167
trend,2006-01-22,44.37323541685514
trend,2006-01-23,44.34282510869359
trend,2006-01-24,44.312414800532025
trend,2006-01-25,44.282004492370476
trend,2006-01-26,44.251594184208926
trend,2006-01-27,44.22118387604736
trend,2006-01-28,44.19077356788581
trend,2006-01-29,44.16036325972426
trend,2006-01-30,44.1299529515627
trend,2006-01-31,44.09954264340114
trend,2006-02-01,44.069132335239594
trend,2006-02-02,44.03872202707803
trend,2006-02-03,44.00831171891648
trend,2006-02-04,43.97790141075492
trend,2006-02-05,43.94749110259337
trend,2006-02-06,43.91708079443182
trend,2006-02-07,43.886670486270255
trend,2006-02-08,43.856260178108705
trend,2006-02-09,43.82584986994715
trend,2006-02-10,43.79543956178559
trend,2006-02-11,43.765029253624036
trend,2006-02-12,43.73461894546248
trend,2006-02-13,43.70420863730093
trend,2006-02-14,43.67379832913937
trend,2006-02-15,43.64338802097782
trend,2006-02-16,43.61297771281626
trend,2006-02-17,43.58256740465471
trend,2006-02-18,43.55215709649315
trend,2006-02-19,43.5217467883316
trend,2006-02-20,43.491336480170034
trend,2006-02-21,43.460926172008485
trend,2006-02-22,43.430515863846935
trend,2006-02-23,43.40010555568537
trend,2006-02-24,43.36969524752382
trend,2006-02-25,43.339284939362265
trend,2006-02-26,43.30887463120071
trend,2006-02-27,43.27846432303915
trend,2006-02-28,43.248054014877596
trend,2006-03-01,43.21764370671604
trend,2006-03-02,43.18723339855449
trend,2006-03-03,43.156823090392926
trend,2006-03-04,43.12641278223138
trend,2006-03-05,43.09600247406983
trend,2006-03-06,43.065592165908264
trend,2006-03-07,43.035181857746714
trend,2006-03-08,43.00477154958516
trend,2006-03-09,42.9743612414236
trend,2006-03-10,42.943950933262045
trend,2006-03-11,42.91354062510049
trend,2006-03-12,42.88313031693893
trend,2006-03-13,42.85272000877738
trend,2006-03-14,42.822309700615826
trend,2006-03-15,42.79189939245427
trend,2006-03-16,42.76148908429272
trend,2006-03-17,42.731078776131156
trend,2006-03-18,42.70066846796961
trend,2006-03-19,42.67025815980805
trend,2006-03-20,42.63984785164649
trend,2006-03-21,42.60943754348494
trend,2006-03-22,42.57902723532338
trend,2006-03-23,42.54861692716183
trend,2006-03-24,42.518206619000274
trend,2006-03-25,42.48779631083872
trend,2006-03-26,42.45738600267716
trend,2006-03-27,42.426975694515605
trend,2006-03-28,42.39656538635405
trend,2006-03-29,42.3661550781925
trend,2006-03-30,42.335744770030935
trend,2006-03-31,42.305334461869386
trend,2006-04-01,42.274924153707836
trend,2006-04-02,42.24451384554627
trend,2006-04-03,42.21410353738472
trend,2006-04-04,42.18369322922317
trend,2006-04-05,42.15328292106161
trend,2006-04-06,42.12287261290005
