time,value
2006-01-01,6.924514093361842
2006-01-02,6.634440100069433
2006-01-03,6.17482007799299
2006-01-04,5.4853504488060665
2006-01-05,4.566031214602007
2006-01-06,3.416862374125542
2006-01-07,2.037843927392151
2006-01-08,0.4289758746304986
2006-01-09,-0.8744648670596211
2006-01-10,-1.8724782961558688
2006-01-11,-2.565064413045802
2006-01-12,-2.9522232204392838
2006-01-13,-3.033954713818427
2006-01-14,-2.8102588970080085
2006-01-15,-2.281135768885862
2006-01-16,-1.881216727911907
2006-01-17,-1.610501775890849
2006-01-18,-1.468990911876086
2006-01-19,-1.456684136264803
2006-01-20,-1.573581449582373
2006-01-21,-1.8196828491938866
2006-01-22,-2.1949883387203655
2006-01-23,-2.328590743815477
2006-01-24,-2.2204900701185557
2006-01-25,-1.8706863108468657
2006-01-26,-1.2791794692761793
2006-01-27,-0.4459695448594605
2006-01-28,0.6289434617183369
2006-01-29,1.9455595511842976
2006-01-30,11.318729222398137
2006-01-31,3.51140549677039
2006-02-01,3.786479741049492
2006-02-02,3.643955127351442
2006-02-03,9.19172252755245
2006-02-04,2.3128644457539975
2006-02-05,1.0984539868393903
2006-02-06,0.11832101216475355
2006-02-07,-0.6275344808789463
2006-02-08,-1.1391124911055286
2006-02-09,-1.4164130181885746
2006-02-10,-1.4594360631416716
2006-02-11,-1.2681816267778174
2006-02-12,-0.8426497052305821
2006-02-13,-0.5675289417354907
2006-02-14,-0.44281933272760554
2006-02-15,-0.46852088043060647
2006-02-16,-0.6446335835520101
2006-02-17,-0.9711574424263043
2006-02-18,-1.448092458808556
2006-02-19,-2.075438630161343
2006-02-20,-2.4395153272379413
2006-02-21,-2.540322551813796
2006-02-22,-2.3778603024590175
2006-02-23,-1.9521285793587508
2006-02-24,-1.263127383583309
2006-02-25,3.895317783046533
2006-02-26,0.9046834294451216
2006-02-27,1.9043954363207005
2006-02-28,2.68827930606927
2006-03-01,11.035496473853033
2006-03-02,3.6263384396152376
2006-03-03,3.7982895077305137
2006-03-04,3.772188244256901
2006-03-05,3.5480346487166883
2006-03-06,13.779436091572496
2006-03-07,2.662286053227635
2006-03-08,2.000691054940167
2006-03-09,1.1932822550951265
2006-03-10,0.24005965399953544
2006-03-11,-0.8589767483735127
2006-03-12,-2.103826952185249
2006-03-13,-3.0045773470119244
2006-03-14,-3.561227933663547
2006-03-15,-3.7737787115561563
2006-03-16,-3.6422296809587804
2006-03-17,-3.166580841766551
2006-03-18,-2.3468321935539262
2006-03-19,-1.1829837371108523
2006-03-20,-0.3038055741916379
2006-03-21,0.290702297525812
2006-03-22,0.6005398733820362
2006-03-23,3.429823489782939
2006-03-24,0.3662041493364745
2006-03-25,-0.17796915096936594
2006-03-26,-1.0068127458385736
2006-03-27,-1.666244408210507
2006-03-28,-2.156264139174284
2006-03-29,-2.4768719373892876
2006-03-30,-2.6280678040336722
2006-03-31,-2.6098517390756344
2006-04-01,-2.422223742701611
2006-04-02,-2.0841934108975595
2006-04-03,-1.7983921155471445
2006-04-04,-1.5648198572775578
2006-04-05,0.9166740861548903
2006-04-06,-1.2543624513531757
2006-04-07,-1.1774773033519756
2006-04-08,-1.152821192970256
2006-04-09,-1.1803941184360456
2006-04-10,-1.1161221424437562
2006-04-11,-0.9600052635754279
2006-04-12,-0.7120434834941971
2006-04-13,-0.3722367996659024
2006-04-14,0.05941478529925259
2006-04-15,0.5829112714993334
2006-04-16,1.1982526607681643
2006-04-17,1.6439844550872493
2006-04-18,1.920106652785062
2006-04-19,14.532073538528664
2006-04-20,1.9635222607208669
