"date","out.ch","out_incl_losses.ch","in.ch"
"2017-02-01 00:00:00",186006906.035,207925332.664,113954959.325
"2017-02-02 00:00:00",186058581.989,207406001.163,112775418.619
"2017-02-03 00:00:00",182944036.132,207541922.2,105352110.112
"2017-02-04 00:00:00",166056912.54,198185383.638,95972839.513
"2017-02-05 00:00:00",159654889.725,194053223.413,93116374.448
"2017-02-06 00:00:00",186949562.283,209019290.608,107498219.351
"2017-02-07 00:00:00",191645851.151,214310768.892,103627141.914
"2017-02-08 00:00:00",192408557.046,210813876.551,123189050.225
"2017-02-09 00:00:00",195125703.76,212475272.699,137987238.149
"2017-02-10 00:00:00",192393283.671,207745393.887,135712718.925
"2017-02-11 00:00:00",168579824.897,183837489.571,109666681.81
"2017-02-12 00:00:00",155271873.095,180756137.733,90845421.52
"2017-02-13 00:00:00",188911019.716,208385743.101,110212171.758
"2017-02-14 00:00:00",187520747.475,204137541.232,113729358.382
"2017-02-15 00:00:00",184335778.266,203364829.819,106887923.742
"2017-02-16 00:00:00",182330735.047,197002033.936,112277833.867
"2017-02-17 00:00:00",184403890.49,198760351.752,117008640.861
"2017-02-18 00:00:00",163218419.666,178434041.525,99509225.97
"2017-02-19 00:00:00",150978439.359,176532449.655,90919040.517
"2017-02-20 00:00:00",177329072.276,192801390.771,117681495.439
"2017-02-21 00:00:00",179426011.358,197372990.748,126036813.833
"2017-02-22 00:00:00",175276530.643,194522302.346,136259746.315
"2017-02-23 00:00:00",172662239.357,189839075.748,143214363.13
"2017-02-24 00:00:00",177143159.022,194284382.341,147406606.767
"2017-02-25 00:00:00",158441086.431,173511876.593,127154329.342
"2017-02-26 00:00:00",146238391.196,168117653.12,120255253.009
"2017-02-27 00:00:00",171694738.463,187830070.166,140782589.097
"2017-02-28 00:00:00",181790545.34,200442711.936,152381000.501
"2017-03-01 00:00:00",182482135.348,199337529.509,150990806.556
"2017-03-02 00:00:00",179108078.342,196012446.176,144016255.012
"2017-03-03 00:00:00",177007308.971,191898937.836,142320748.835
"2017-03-04 00:00:00",153676978.37,173961960.412,128292010.263
"2017-03-05 00:00:00",144029628.93,172888322.431,126509724.585
"2017-03-06 00:00:00",179626488.357,200454577.859,152823828.967
"2017-03-07 00:00:00",183377504.541,199832937.782,164558779.416
"2017-03-08 00:00:00",183056927.199,200842117.73,153472724.518
"2017-03-09 00:00:00",180065210.941,198739312.914,153512101.427
"2017-03-10 00:00:00",169697588.734,190173547.92,154307708.77
"2017-03-11 00:00:00",150081542.812,178521863.076,140518185.523
"2017-03-12 00:00:00",137163874.428,168928084.795,133640495.949
"2017-03-13 00:00:00",167175373.158,186932809.622,148814652.28
"2017-03-14 00:00:00",168121866.804,182889691.14,177439404.924
"2017-03-15 00:00:00",167491031.134,180434656.288,158715653.083
"2017-03-16 00:00:00",164743136.922,183322203.924,154354366.234
"2017-03-17 00:00:00",161603945.165,176818471.585,153567910.793
