;PW + Busse/Car;;;;;;;;;;LW;;;;;;;;;;Gesamtergebnis;;;;;;;;;
Datum;UMF..BERN.OST;SAN.BERNARDINO;BASEL;CHIASSO;SIMPLON;GOTTHARDTUNNEL;COPPET;WUERENLOS;RENENS;AESCHERTUNNEL;UMF..BERN.OST;SAN.BERNARDINO;BASEL;CHIASSO;SIMPLON;GOTTHARDTUNNEL;COPPET;WUERENLOS;RENENS;AESCHERTUNNEL;UMF..BERN.OST;SAN.BERNARDINO;BASEL;CHIASSO;SIMPLON;GOTTHARDTUNNEL;COPPET;WUERENLOS;RENENS;AESCHERTUNNEL
15.08.2009;78461;16081;82794;NA;6914;31888;NA;NA;87946;NA;723;86;1206;NA;33;468;NA;NA;951;NA;79184;16167;84000;NA;6947;32356;74819;NA;88897;NA
16.08.2009;66800;12305;72083;NA;6513;28025;NA;NA;76615;NA;228;73;569;NA;24;352;NA;NA;513;NA;67028;12378;72652;NA;6537;28377;67443;NA;77128;NA
17.08.2009;70868;7047;81621;NA;3943;19960;NA;NA;92285;NA;3830;387;6743;NA;180;1809;NA;NA;3807;NA;74698;7434;88364;NA;4123;21769;75799;NA;96092;NA
18.08.2009;72787;5938;79354;NA;3710;16918;NA;NA;91731;NA;3580;414;7446;NA;188;2176;NA;NA;4125;NA;76367;6352;86800;NA;3898;19094;75528;NA;95856;NA
19.08.2009;76244;6370;80960;NA;3908;17147;NA;NA;94094;NA;3635;422;7779;NA;191;2303;NA;NA;4047;NA;79879;6792;88739;NA;4099;19450;77478;NA;98141;NA
20.08.2009;74607;7161;84528;NA;3758;19154;NA;NA;96658;NA;3645;380;7518;NA;86;2173;NA;NA;4144;NA;78252;7541;92046;NA;3844;21327;82236;NA;100802;NA
21.08.2009;78820;10973;93413;NA;3753;24807;NA;NA;101684;NA;3674;384;7075;NA;72;1885;NA;NA;3636;NA;82494;11357;100488;NA;3825;26692;79693;NA;105320;NA
22.08.2009;72921;15734;80276;NA;5150;30720;NA;NA;90045;NA;730;139;1702;NA;70;985;NA;NA;1072;NA;73651;15873;81978;NA;5220;31705;74515;NA;91117;NA
23.08.2009;68525;12413;66901;NA;5284;28005;NA;NA;77299;NA;236;71;558;NA;31;299;NA;NA;566;NA;68761;12484;67459;NA;5315;28304;66721;NA;77865;NA
24.08.2009;72273;6219;76540;NA;2948;16891;NA;NA;90797;NA;3792;468;7320;NA;233;2219;NA;NA;4113;NA;76065;6687;83860;NA;3181;19110;75118;NA;94910;NA
25.08.2009;70344;5481;76929;NA;2343;15128;NA;NA;92039;NA;3981;567;8340;NA;229;2924;NA;NA;4192;NA;74325;6048;85269;NA;2572;18052;72031;NA;96231;NA
26.08.2009;74076;6021;78241;NA;2323;15649;NA;NA;95211;NA;3794;553;8393;NA;275;3022;NA;NA;4330;NA;77870;6574;86634;NA;2598;18671;77334;NA;99541;NA
27.08.2009;76416;6760;77801;NA;2723;17070;NA;NA;97256;NA;3737;537;8003;NA;259;2960;NA;NA;4339;NA;80153;7297;85804;NA;2982;20030;80528;NA;101595;NA
28.08.2009;79699;10649;90584;NA;3358;20510;NA;NA;103061;NA;3576;483;7470;NA;221;2250;NA;NA;3989;NA;83275;11132;98054;NA;3579;22760;85119;NA;107050;NA
29.08.2009;73099;16816;85408;NA;4477;25967;NA;NA;91014;NA;744;185;2215;NA;73;1467;NA;NA;1092;NA;73843;17001;87623;NA;4550;27434;74593;NA;92106;NA
30.08.2009;69367;12869;71309;NA;4642;23800;NA;NA;78778;NA;221;73;521;NA;19;287;NA;NA;501;NA;69588;12942;71830;NA;4661;24087;67399;NA;79279;NA
31.08.2009;72451;6364;80486;NA;2537;16491;NA;NA;92199;NA;3891;511;7923;NA;272;2623;NA;NA;4102;NA;76342;6875;88409;NA;2809;19114;75862;NA;96301;NA
01.09.2009;71139;5283;76683;NA;2201;13593;73578;NA;93431;NA;3837;651;8385;NA;302;3466;2887;NA;4298;NA;74976;5934;85068;NA;2503;17059;76465;NA;97729;NA
02.09.2009;70960;7048;79500;NA;2137;10396;74312;NA;94163;NA;3749;998;8516;NA;358;2864;2995;NA;4252;NA;74709;8046;88016;NA;2495;13260;77307;NA;98415;NA
03.09.2009;71641;6664;81720;NA;2164;16313;76046;NA;95717;NA;3557;696;8437;NA;312;3661;3030;NA;4440;NA;75198;7360;90157;NA;2476;19974;79076;NA;100157;NA
04.09.2009;76402;9577;87160;NA;2815;22321;83804;NA;100868;NA;3580;607;7860;NA;260;2952;2858;NA;4208;NA;79982;10184;95020;NA;3075;25273;86662;NA;105076;NA
05.09.2009;67906;15032;80144;NA;4057;22271;77893;NA;93606;NA;769;319;2686;NA;83;1917;885;NA;1167;NA;68675;15351;82830;NA;4140;24188;78778;NA;94773;NA
06.09.2009;66895;12292;67633;NA;4665;23548;68291;NA;76629;NA;249;86;495;NA;18;289;375;NA;565;NA;67144;12378;68128;NA;4683;23837;68666;NA;77194;NA
07.09.2009;70184;6133;77394;NA;2558;14441;67788;NA;91182;NA;3717;609;8390;NA;284;2785;2791;NA;4228;NA;73901;6742;85784;NA;2842;17226;70579;NA;95410;NA
08.09.2009;72889;5668;77767;NA;2388;11383;73256;NA;93322;NA;3852;710;8889;NA;361;3504;3068;NA;4514;NA;76741;6378;86656;NA;2749;14887;76324;NA;97836;NA
09.09.2009;74079;6247;78062;NA;2447;11926;76958;NA;96678;NA;3853;803;8788;NA;346;3677;3225;NA;4618;NA;77932;7050;86850;NA;2793;15603;80183;NA;101296;NA
10.09.2009;74598;7091;79685;NA;2576;13226;75126;NA;99690;NA;3909;758;8928;NA;331;3636;1077;NA;3476;NA;78507;7849;88613;NA;2907;16862;76203;NA;103166;NA
11.09.2009;78964;10520;83232;NA;3040;20346;74747;NA;99044;NA;3809;628;7941;NA;239;3112;2860;NA;4254;NA;82773;11148;91173;NA;3279;23458;77607;NA;103298;NA
12.09.2009;70365;13607;77795;NA;3713;23892;67969;NA;87608;NA;698;256;2671;NA;98;1942;793;NA;1164;NA;71063;13863;80466;NA;3811;25834;68762;NA;88772;NA
13.09.2009;60633;11702;65136;NA;4221;22061;61435;NA;73679;NA;163;78;495;NA;20;291;289;NA;478;NA;60796;11780;65631;NA;4241;22352;61724;NA;74157;NA
14.09.2009;70403;5545;78987;NA;2100;13973;71447;NA;89961;NA;3395;654;8404;NA;308;2824;3002;NA;4396;NA;73798;6199;87391;NA;2408;16797;74449;NA;94357;NA
15.09.2009;72271;4512;75262;NA;1797;11268;72065;NA;91696;NA;3594;733;8880;NA;319;3557;3079;NA;4455;NA;75865;5245;84142;NA;2116;14825;75144;NA;96151;NA
16.09.2009;71447;4765;75656;NA;1625;11607;73141;NA;93506;NA;3742;756;8792;NA;349;3632;3018;NA;4585;NA;75189;5521;84448;NA;1974;15239;76159;NA;98091;NA
17.09.2009;71221;4911;80479;NA;2111;12458;76466;NA;96210;NA;3858;757;8739;NA;349;3569;3160;NA;4586;NA;75079;5668;89218;NA;2460;16027;79626;NA;100796;NA
18.09.2009;77269;7335;88218;NA;2950;17296;83248;NA;101867;NA;3518;622;8237;NA;279;3030;3126;NA;4249;NA;80787;7957;96455;NA;3229;20326;86374;NA;106116;NA
19.09.2009;66749;8737;74087;NA;3367;19453;67358;NA;81073;NA;737;245;2782;NA;94;1960;918;NA;1082;NA;67486;8982;76869;NA;3461;21413;68276;NA;82155;NA
20.09.2009;55665;8453;66529;NA;3293;20252;59148;NA;68338;NA;148;75;403;NA;17;298;363;NA;482;NA;55813;8528;66932;NA;3310;20550;59511;NA;68820;NA
21.09.2009;66529;4905;82250;NA;2516;11767;69763;NA;62188;NA;3773;595;8258;NA;197;2806;2202;NA;2033;NA;70302;5500;90508;NA;2713;14573;71965;NA;64221;NA
22.09.2009;68460;4293;77517;NA;2207;10191;73670;NA;93648;NA;3778;736;8983;NA;387;3579;3172;NA;4879;NA;72238;5029;86500;NA;2594;13770;76842;NA;98527;NA
23.09.2009;71747;4677;78417;NA;2229;10792;74541;NA;94726;NA;3974;801;8977;NA;377;3695;3068;NA;4539;NA;75721;5478;87394;NA;2606;14487;77609;NA;99265;NA
24.09.2009;69495;5158;76828;NA;2121;12089;77776;NA;96999;NA;3836;737;7931;NA;383;3675;3224;NA;4703;NA;73331;5895;84759;NA;2504;15764;81000;NA;101702;NA
25.09.2009;73135;7963;86205;NA;2938;18868;78006;NA;104086;NA;3658;629;7775;NA;304;3070;2781;NA;4451;NA;76793;8592;93980;NA;3242;21938;80787;NA;108537;NA
26.09.2009;63900;9524;74072;NA;3235;21846;74056;NA;91807;NA;753;235;2691;NA;100;1959;839;NA;1181;NA;64653;9759;76763;NA;3335;23805;74895;NA;92988;NA
27.09.2009;58388;9883;66422;NA;3693;22125;66618;NA;76822;NA;158;95;455;NA;24;357;342;NA;523;NA;58546;9978;66877;NA;3717;22482;66960;NA;77345;NA
28.09.2009;65790;5286;80632;NA;2238;13089;72473;NA;91973;NA;3634;671;8268;NA;291;3086;2882;NA;4352;NA;69424;5957;88900;NA;2529;16175;75355;NA;96325;NA
29.09.2009;67978;4347;77215;NA;2127;11197;73151;NA;92507;NA;3623;745;8968;NA;335;3677;3000;NA;4692;NA;71601;5092;86183;NA;2462;14874;76151;NA;97199;NA
30.09.2009;71070;4976;76420;NA;2121;12790;75121;NA;94988;NA;3714;714;8922;NA;347;3900;3095;NA;4643;NA;74784;5690;85342;NA;2468;16690;78216;NA;99631;NA
01.10.2009;70082;5622;79629;NA;2080;14508;76146;NA;95121;NA;3551;766;9003;NA;343;3777;3032;NA;4811;NA;73633;6388;88632;NA;2423;18285;79178;NA;99932;NA
02.10.2009;72993;8632;82133;NA;2439;19589;83137;NA;102652;NA;3484;631;7721;NA;291;3295;2873;NA;4569;NA;76477;9263;89854;NA;2730;22884;86010;NA;107221;NA
03.10.2009;67515;10802;67816;NA;3770;21887;74870;NA;92288;NA;668;184;2415;NA;96;1988;881;NA;1318;NA;68183;10986;70231;NA;3866;23875;75751;NA;93606;NA
04.10.2009;63244;11425;59632;NA;3820;22333;65672;NA;76476;NA;164;108;390;NA;26;320;300;NA;508;NA;63408;11533;60022;NA;3846;22653;65972;NA;76984;NA
05.10.2009;66742;6718;77351;NA;1707;12438;71572;NA;90886;NA;3573;946;7529;NA;259;2698;2794;NA;4222;NA;70315;7664;84880;NA;1966;15136;74366;NA;95108;NA
06.10.2009;68729;4591;78296;NA;1498;11833;72882;NA;92505;NA;3781;737;8725;NA;318;3717;2960;NA;4337;NA;72510;5328;87021;NA;1816;15550;75842;NA;96842;NA
07.10.2009;76200;5179;77270;NA;1633;12626;74532;NA;95504;NA;3637;787;8744;NA;334;3802;2986;NA;4554;NA;79837;5966;86014;NA;1967;16428;77518;NA;100058;NA
08.10.2009;68569;5425;77070;NA;1561;14377;72493;NA;94583;NA;3597;754;8707;NA;348;3833;3379;NA;4514;NA;72166;6179;85777;NA;1909;18210;75872;NA;99097;NA
09.10.2009;74793;7952;88237;NA;2110;19478;82765;NA;104454;NA;3444;630;7775;NA;234;3144;2920;NA;4309;NA;78237;8582;96012;NA;2344;22622;85685;NA;108763;NA
10.10.2009;62908;9995;73649;NA;2657;22357;68374;NA;84114;NA;740;239;2796;NA;88;2165;1040;NA;1028;NA;63648;10234;76445;NA;2745;24522;69414;NA;85142;NA
11.10.2009;57042;10246;61446;NA;3055;21028;62519;NA;71011;NA;173;106;394;NA;10;307;263;NA;383;NA;57215;10352;61840;NA;3065;21335;62782;NA;71394;NA
12.10.2009;65186;5610;78415;NA;1592;15581;68120;NA;89766;NA;3569;658;7882;NA;265;2999;2934;NA;4302;NA;68755;6268;86297;NA;1857;18580;71054;NA;94068;NA
13.10.2009;69591;4864;77309;NA;1468;13201;70209;NA;90674;NA;3527;767;8815;NA;310;3547;3101;NA;4431;NA;73118;5631;86124;NA;1778;16748;73310;NA;95105;NA
14.10.2009;72308;5412;77601;NA;1643;14410;71932;NA;92503;NA;3568;767;8687;NA;314;3855;2879;NA;4357;NA;75876;6179;86288;NA;1957;18265;74811;NA;96860;NA
15.10.2009;72359;5844;82143;NA;1715;15151;74172;NA;93669;NA;3560;762;8960;NA;325;3689;3129;NA;4564;NA;75919;6606;91103;NA;2040;18840;77301;NA;98233;NA
16.10.2009;76826;8067;86699;NA;2158;19391;79175;NA;98289;NA;3402;622;7857;NA;252;3077;2804;NA;4170;NA;80228;8689;94556;NA;2410;22468;81979;NA;102459;NA
17.10.2009;64251;9208;70830;NA;2450;20667;66980;NA;80407;NA;584;211;2581;NA;72;1968;735;NA;923;NA;64835;9419;73411;NA;2522;22635;67715;NA;81330;NA
18.10.2009;54258;9463;57658;NA;2774;20487;58646;NA;69779;NA;133;89;346;NA;21;277;212;NA;350;NA;54391;9552;58004;NA;2795;20764;58858;NA;70129;NA
19.10.2009;68780;3887;77542;NA;1465;12525;68926;NA;88809;NA;3556;634;8130;NA;289;3004;2788;NA;4257;NA;72336;4521;85672;NA;1754;15529;71714;NA;93066;NA
20.10.2009;69956;3457;77814;NA;1407;9980;70838;NA;91591;NA;3633;736;8742;NA;313;3585;2975;NA;4276;NA;73589;4193;86556;NA;1720;13565;73813;NA;95867;NA
21.10.2009;71814;3439;77998;NA;1176;10637;71779;NA;93581;NA;3715;694;9121;NA;308;3878;3000;NA;4639;NA;75529;4133;87119;NA;1484;14515;74779;NA;98220;NA
22.10.2009;72046;3776;80323;NA;1105;11826;74406;NA;95907;NA;3572;729;8759;NA;288;3663;2955;NA;4397;NA;75618;4505;89082;NA;1393;15489;77361;NA;100304;NA
23.10.2009;74950;5887;86364;NA;1684;17305;78070;NA;100889;NA;3378;581;7865;NA;219;3032;2854;NA;4112;NA;78328;6468;94229;NA;1903;20337;80924;NA;105001;NA
24.10.2009;66164;6319;76271;NA;2573;17581;66702;NA;84471;NA;730;212;2730;NA;71;2063;713;NA;896;NA;66894;6531;79001;NA;2644;19644;67415;NA;85367;NA
25.10.2009;53905;7220;63701;NA;2909;19269;59647;NA;72541;NA;119;77;323;NA;14;222;241;NA;347;NA;54024;7297;64024;NA;2923;19491;59888;NA;72888;NA
26.10.2009;66947;4235;78281;NA;1392;11376;71464;NA;92261;NA;3607;537;7739;NA;262;3189;2757;NA;4093;NA;70554;4772;86020;NA;1654;14565;74221;NA;96354;NA
27.10.2009;71257;3573;76765;NA;1212;9631;76040;NA;94185;NA;3732;714;8575;NA;328;3467;2994;NA;4233;NA;74989;4287;85340;NA;1540;13098;79034;NA;98418;NA
28.10.2009;74119;4037;78431;NA;1422;10455;79079;NA;98195;NA;3773;755;8542;NA;299;3782;3014;NA;4505;NA;77892;4792;86973;NA;1721;14237;82093;NA;102700;NA
29.10.2009;74128;4061;81979;NA;1465;11471;76236;NA;99718;NA;3801;672;8542;NA;313;3583;3005;NA;4378;NA;77929;4733;90521;NA;1778;15054;79241;NA;104096;NA
30.10.2009;79934;5436;89280;NA;1855;15492;82387;NA;106049;NA;3587;531;7744;NA;243;2944;2761;NA;4140;NA;83521;5967;97024;NA;2098;18436;85148;NA;110189;NA
31.10.2009;69154;5969;76690;NA;2122;14990;70211;NA;87989;NA;630;191;2477;NA;73;1830;740;NA;1018;NA;69784;6160;79167;NA;2195;16820;70951;NA;89007;NA
01.11.2009;58592;6292;66147;NA;2246;16414;61571;NA;69114;NA;125;33;265;NA;8;172;243;NA;301;NA;58717;6325;66412;NA;2254;16586;61814;NA;69415;NA
02.11.2009;66209;3258;75307;NA;1041;10085;69174;NA;89777;NA;3413;548;7931;NA;244;2963;2969;NA;4154;NA;69622;3806;83238;NA;1285;13048;72143;NA;93931;NA
03.11.2009;66815;2884;73870;NA;930;9002;69642;NA;91707;NA;3530;705;8464;NA;302;3580;3434;NA;4392;NA;70345;3589;82334;NA;1232;12582;73076;NA;96099;NA
04.11.2009;69410;3084;76779;NA;906;9155;70009;NA;95093;NA;3368;690;8692;NA;279;3798;3268;NA;4384;NA;72778;3774;85471;NA;1185;12953;73277;NA;99477;NA
05.11.2009;68797;3195;76116;NA;1075;9679;73751;NA;95700;NA;3546;606;8367;NA;303;3607;3069;NA;4501;NA;72343;3801;84483;NA;1378;13286;76820;NA;100201;NA
06.11.2009;73974;4278;83629;NA;1290;12554;78934;NA;101896;NA;3327;540;7906;NA;181;2997;2797;NA;4081;NA;77301;4818;91535;NA;1471;15551;81731;NA;105977;NA
07.11.2009;61730;3949;66563;NA;1449;11573;60555;NA;80495;NA;616;178;2507;NA;53;1903;1093;NA;837;NA;62346;4127;69070;NA;1502;13476;61648;NA;81332;NA
08.11.2009;47696;4407;54095;NA;1216;13743;54407;NA;61562;NA;120;38;257;NA;44;134;230;NA;263;NA;47816;4445;54352;NA;1260;13877;54637;NA;61825;NA
09.11.2009;66068;2780;71736;NA;883;8834;68380;NA;89443;NA;3552;586;7809;NA;236;2855;2862;NA;4186;NA;69620;3366;79545;NA;1119;11689;71242;NA;93629;NA
10.11.2009;67906;2629;72368;NA;954;7936;72782;NA;93551;NA;3717;665;8655;NA;259;3580;2927;NA;4392;NA;71623;3294;81023;NA;1213;11516;75709;NA;97943;NA
11.11.2009;71131;2977;74657;NA;1026;9091;74892;NA;97001;NA;3771;689;7354;NA;286;3691;2791;NA;4183;NA;74902;3666;82011;NA;1312;12782;77683;NA;101184;NA
12.11.2009;70283;2976;75435;NA;1033;9297;74678;NA;96569;NA;3525;614;8814;NA;303;3630;3361;NA;4502;NA;73808;3590;84249;NA;1336;12927;78039;NA;101071;NA
13.11.2009;76057;4208;83397;NA;1356;12076;78412;NA;100859;NA;3411;507;8296;NA;215;2969;2763;NA;4117;NA;79468;4715;91693;NA;1571;15045;81175;NA;104976;NA
14.11.2009;62894;3352;62893;NA;1311;10302;63696;NA;82946;NA;572;187;2559;NA;67;1910;1050;NA;932;NA;63466;3539;65452;NA;1378;12212;64746;NA;83878;NA
15.11.2009;49898;4129;50001;NA;1594;13273;52345;NA;62443;NA;110;28;230;NA;15;129;210;NA;263;NA;50008;4157;50231;NA;1609;13402;52555;NA;62706;NA
16.11.2009;66297;2685;73000;NA;774;8534;68591;NA;89565;NA;3449;582;8059;NA;212;2860;2990;NA;4222;NA;69746;3267;81059;NA;986;11394;71581;NA;93787;NA
17.11.2009;67607;2443;71886;NA;722;7841;70294;NA;91363;NA;3517;679;9000;NA;290;3638;3039;NA;4363;NA;71124;3122;80886;NA;1012;11479;73333;NA;95726;NA
18.11.2009;70419;2668;73131;NA;810;8011;72428;NA;94790;NA;3573;741;9244;NA;293;3802;3018;NA;4533;NA;73992;3409;82375;NA;1103;11813;75446;NA;99323;NA
19.11.2009;71029;2719;77173;NA;858;9082;77647;NA;96160;NA;3611;679;8865;NA;278;3547;3096;NA;4396;NA;74640;3398;86038;NA;1136;12629;80743;NA;100556;NA
20.11.2009;76424;3805;81792;NA;1276;11823;78273;NA;101397;NA;3385;564;8363;NA;234;3047;2922;NA;4174;NA;79809;4369;90155;NA;1510;14870;81195;NA;105571;NA
21.11.2009;64560;3224;65300;NA;1511;10565;64088;NA;80126;NA;639;174;2511;NA;56;1857;703;NA;963;NA;65199;3398;67811;NA;1567;12422;64791;NA;81089;NA
22.11.2009;50948;4201;54365;NA;1523;12900;53731;NA;61167;NA;122;25;252;NA;13;192;404;NA;302;NA;51070;4226;54617;NA;1536;13092;54135;NA;61469;NA
23.11.2009;66024;2746;74529;NA;827;8740;70892;NA;88935;NA;3572;571;7350;NA;241;2902;3025;NA;4356;NA;69596;3317;81879;NA;1068;11642;73917;NA;93291;NA
24.11.2009;67579;2431;74534;NA;721;7555;69311;NA;90585;NA;3838;679;8530;NA;273;3679;3039;NA;4537;NA;71417;3110;83064;NA;994;11234;72350;NA;95122;NA
25.11.2009;72317;2761;77881;NA;904;8363;74200;NA;94698;NA;3779;675;8699;NA;324;3761;3002;NA;4400;NA;76096;3436;86580;NA;1228;12124;77202;NA;99098;NA
26.11.2009;72651;2816;77326;NA;888;8743;77254;NA;98972;NA;3605;646;9156;NA;291;3574;3094;NA;4458;NA;76256;3462;86482;NA;1179;12317;80348;NA;103430;NA
27.11.2009;77191;3556;85175;NA;1086;11102;81475;NA;103501;NA;3332;528;8324;NA;232;3073;2886;NA;4049;NA;80523;4084;93499;NA;1318;14175;84361;NA;107550;NA
28.11.2009;64960;3008;66075;NA;1637;9923;68012;NA;85600;NA;611;182;2717;NA;63;1907;741;NA;999;NA;65571;3190;68792;NA;1700;11830;68753;NA;86599;NA
29.11.2009;51745;3606;52357;NA;1111;11858;57142;NA;65350;NA;146;59;257;NA;23;128;202;NA;327;NA;51891;3665;52614;NA;1134;11986;57344;NA;65677;NA
30.11.2009;63800;2659;72054;NA;358;4218;67405;NA;89489;NA;3554;102;6927;NA;86;475;2937;NA;4222;NA;67354;2761;78981;NA;444;4693;70342;NA;93711;NA
01.12.2009;63447;2034;71021;NA;361;6784;69560;NA;91105;NA;3381;814;8284;NA;61;3966;3051;NA;4252;NA;66828;2848;79305;NA;422;10750;72611;NA;95357;NA
02.12.2009;69166;2341;72184;NA;718;7243;71695;NA;95850;NA;3545;675;8778;NA;338;4082;2974;NA;4327;NA;72711;3016;80962;NA;1056;11325;74669;NA;100177;NA
03.12.2009;69455;2623;76109;NA;746;8014;74760;NA;96772;NA;3526;709;8752;NA;300;3603;3159;NA;4605;NA;72981;3332;84861;NA;1046;11617;77919;NA;101377;NA
04.12.2009;75128;4068;84708;NA;1217;11367;82673;NA;104842;NA;3292;523;8085;NA;181;3309;2982;NA;4212;NA;78420;4591;92793;NA;1398;14676;85655;NA;109054;NA
05.12.2009;62720;5172;67374;NA;1982;12181;70970;NA;86484;NA;591;223;2473;NA;49;1849;825;NA;1067;NA;63311;5395;69847;NA;2031;14030;71795;NA;87551;NA
06.12.2009;52192;4416;53356;NA;1671;11776;57981;NA;66824;NA;93;24;290;NA;17;150;256;NA;389;NA;52285;4440;53646;NA;1688;11926;58237;NA;67213;NA
07.12.2009;66675;3129;74149;NA;1272;8413;67861;NA;91307;NA;3224;432;7709;NA;149;2763;3006;NA;4283;NA;69899;3561;81858;NA;1421;11176;70867;NA;95590;NA
08.12.2009;70407;5602;77894;NA;2253;12117;72855;NA;95914;NA;3396;270;7609;NA;117;1207;2911;NA;4149;NA;73803;5872;85503;NA;2370;13324;75766;NA;100063;NA
09.12.2009;71765;3022;76763;NA;901;8640;73906;NA;97649;NA;3402;717;8189;NA;411;2851;2982;NA;4380;NA;75167;3739;84952;NA;1312;11491;76888;NA;102029;NA
10.12.2009;71189;2702;76052;NA;774;8246;76643;NA;100418;NA;3552;785;8820;NA;382;3741;3133;NA;4556;NA;74741;3487;84872;NA;1156;11987;79776;NA;104974;NA
11.12.2009;75648;3330;79822;NA;1146;10437;81778;NA;105233;NA;3241;545;7773;NA;219;3164;3020;NA;4400;NA;78889;3875;87595;NA;1365;13601;84798;NA;109633;NA
12.12.2009;59756;2929;65835;NA;1127;8883;65691;NA;82703;NA;592;188;2784;NA;64;2010;818;NA;1158;NA;60348;3117;68619;NA;1191;10893;66509;NA;83861;NA
13.12.2009;51789;3223;53661;NA;1021;9711;54598;NA;63732;NA;123;37;267;NA;19;117;266;NA;361;NA;51912;3260;53928;NA;1040;9828;54864;NA;64093;NA
14.12.2009;66316;2401;75896;NA;702;7367;71472;NA;92570;NA;3433;606;8011;NA;210;3047;2960;NA;4423;NA;69749;3007;83907;NA;912;10414;74432;NA;96993;NA
15.12.2009;68805;2364;74614;NA;702;7229;76239;NA;95957;NA;3447;670;8919;NA;239;3698;3267;NA;4607;NA;72252;3034;83533;NA;941;10927;79506;NA;100564;NA
16.12.2009;70675;2459;74024;NA;801;7917;75026;NA;97432;NA;3405;694;9064;NA;252;4014;3127;NA;4496;NA;74080;3153;83088;NA;1053;11931;78153;NA;101928;NA
17.12.2009;70861;2550;76633;NA;815;8734;78565;NA;99557;NA;3632;675;8710;NA;270;3737;3239;NA;4579;NA;74493;3225;85343;NA;1085;12471;81804;NA;104136;NA
18.12.2009;74384;3444;85654;NA;1194;12492;75154;NA;97669;NA;3037;542;7489;NA;159;3055;2806;NA;3881;NA;77421;3986;93143;NA;1353;15547;77960;NA;101550;NA
19.12.2009;58437;3415;67888;NA;1201;12657;66461;NA;79363;NA;633;176;2629;NA;57;1902;927;NA;1139;NA;59070;3591;70517;NA;1258;14559;67388;NA;80502;NA
20.12.2009;50255;3599;50795;NA;1058;11095;49508;NA;55541;NA;125;23;302;NA;25;118;270;NA;335;NA;50380;3622;51097;NA;1083;11213;49778;NA;55876;NA
21.12.2009;61278;2071;71058;NA;556;7357;61345;NA;78000;NA;2693;379;7026;NA;62;2215;2599;NA;3473;NA;63971;2450;78084;NA;618;9572;63944;NA;81473;NA
22.12.2009;64927;3006;78338;NA;699;7624;67193;NA;85873;NA;2688;411;6855;NA;105;2050;2721;NA;3685;NA;67615;3417;85193;NA;804;9674;69914;NA;89558;NA
23.12.2009;67111;3681;83321;NA;971;13336;70567;NA;89912;NA;2290;381;6088;NA;92;2396;2624;NA;3255;NA;69401;4062;89409;NA;1063;15732;73191;NA;93167;NA
24.12.2009;59449;2852;59436;NA;938;11094;57754;NA;75456;NA;1381;84;2431;NA;57;768;838;NA;1950;NA;60830;2936;61867;NA;995;11862;58592;NA;77406;NA
25.12.2009;54465;2575;41690;NA;858;8564;52922;NA;60869;NA;83;20;77;NA;31;43;209;NA;118;NA;54548;2595;41767;NA;889;8607;53131;NA;60987;NA
26.12.2009;62360;5866;69261;NA;2108;12452;65624;NA;78882;NA;248;42;466;NA;15;100;606;NA;737;NA;62608;5908;69727;NA;2123;12552;66230;NA;79619;NA
27.12.2009;54472;6153;58610;NA;2102;15095;55057;NA;62208;NA;109;39;265;NA;15;128;234;NA;284;NA;54581;6192;58875;NA;2117;15223;55291;NA;62492;NA
28.12.2009;58922;4481;68650;NA;1206;11205;57366;NA;72311;NA;1636;231;3881;NA;73;1367;1657;NA;2235;NA;60558;4712;72531;NA;1279;12572;59023;NA;74546;NA
29.12.2009;59744;4424;69141;NA;1228;11500;58429;NA;74087;NA;1624;248;4277;NA;87;1598;2118;NA;2315;NA;61368;4672;73418;NA;1315;13098;60547;NA;76402;NA
30.12.2009;61762;5357;72283;NA;1512;13723;58550;NA;76007;NA;1602;198;3840;NA;72;1307;2426;NA;2288;NA;63364;5555;76123;NA;1584;15030;60976;NA;78295;NA
31.12.2009;48755;4351;53178;NA;1143;8733;47777;NA;63580;NA;1141;85;1788;NA;34;535;1300;NA;1290;NA;49896;4436;54966;NA;1177;9268;49077;NA;64870;NA
01.01.2010;37999;3838;40061;26247;1332;8831;36862;NA;44449;38958;84;33;147;103;18;86;122;NA;148;116;38083;3871;40208;26350;1350;8917;36984;NA;44597;39074
02.01.2010;54803;7545;78725;44751;2837;18190;68740;NA;71355;58395;275;48;824;472;26;274;647;NA;715;534;55078;7593;79549;45223;2863;18464;69387;NA;72070;58929
03.01.2010;54247;8204;62220;42517;2501;19844;56142;NA;62327;54259;116;34;274;292;21;171;266;NA;316;159;54363;8238;62494;42809;2522;20015;56408;NA;62643;54418
04.01.2010;57122;3508;71082;34729;979;8833;52187;NA;70356;54735;1964;232;5033;2601;80;1587;1888;NA;2560;2844;59086;3740;76115;37330;1059;10420;54075;NA;72916;57579
05.01.2010;58195;3806;71714;35825;1235;8280;57610;NA;75681;57758;2259;285;6517;3587;120;1920;2217;NA;2886;3219;60454;4091;78231;39412;1355;10200;59827;NA;78567;60977
06.01.2010;62324;4420;70086;30314;1419;7358;61886;NA;81217;58088;2353;114;6010;448;89;852;2333;NA;3079;2893;64677;4534;76096;30762;1508;8210;64219;NA;84296;60981
07.01.2010;62082;2540;73888;34764;977;6758;66195;NA;85108;60821;2286;409;7013;5610;141;2452;2373;NA;3119;3457;64368;2949;80901;40374;1118;9210;68568;NA;88227;64278
