;PW + Busse/Car;;;;;;;;;;LW;;;;;;;;;;Gesamtergebnis;;;;;;;;;
Datum;UMF..BERN.OST;SAN.BERNARDINO;BASEL;CHIASSO;SIMPLON;GOTTHARDTUNNEL;COPPET;WUERENLOS;RENENS;AESCHERTUNNEL;UMF..BERN.OST;SAN.BERNARDINO;BASEL;CHIASSO;SIMPLON;GOTTHARDTUNNEL;COPPET;WUERENLOS;RENENS;AESCHERTUNNEL;UMF..BERN.OST;SAN.BERNARDINO;BASEL;CHIASSO;SIMPLON;GOTTHARDTUNNEL;COPPET;WUERENLOS;RENENS;AESCHERTUNNEL
31.01.2005;63567;2290;NA;NA;774;6628;NA;NA;NA;NA;2953;529;NA;NA;157;3221;NA;NA;NA;NA;66520;2819;71673;NA;931;9849;NA;NA;NA;NA
01.02.2005;58763;1724;NA;NA;588;5534;59874;NA;NA;NA;2905;496;NA;NA;163;3550;2623;NA;NA;NA;61668;2220;67620;NA;751;9084;62497;NA;NA;NA
02.02.2005;63378;2046;NA;NA;842;6445;64283;NA;NA;NA;2991;563;NA;NA;195;3875;2877;NA;NA;NA;66369;2609;69497;NA;1037;10320;67160;NA;NA;NA
03.02.2005;66024;2300;NA;NA;899;7420;67294;NA;NA;NA;3039;510;NA;NA;222;3691;3005;NA;NA;NA;69063;2810;74390;NA;1121;11111;70299;NA;NA;NA
04.02.2005;78479;3712;NA;NA;1419;10563;73308;NA;NA;NA;2890;413;NA;NA;146;2852;2740;NA;NA;NA;81369;4125;82289;NA;1565;13415;76048;NA;NA;NA
05.02.2005;71929;4287;NA;NA;1999;9028;67278;NA;NA;NA;562;144;NA;NA;60;1784;853;NA;NA;NA;72491;4431;72718;NA;2059;10812;68131;NA;NA;NA
06.02.2005;54791;4791;NA;NA;1963;10219;56009;NA;NA;NA;93;28;NA;NA;11;94;183;NA;NA;NA;54884;4819;43697;NA;1974;10313;56192;NA;NA;NA
07.02.2005;65102;3170;NA;NA;1139;7234;67206;NA;NA;NA;3048;467;NA;NA;184;3184;2581;NA;NA;NA;68150;3637;67416;NA;1323;10418;69787;NA;NA;NA
08.02.2005;67406;3161;NA;NA;1198;6711;65378;NA;NA;NA;2951;514;NA;NA;207;3549;2713;NA;NA;NA;70357;3675;71280;NA;1405;10260;68091;NA;NA;NA
09.02.2005;70413;3609;NA;NA;1313;7421;68425;NA;NA;NA;3036;511;NA;NA;244;3878;2616;NA;NA;NA;73449;4120;71345;NA;1557;11299;71041;NA;NA;NA
10.02.2005;69132;3708;NA;NA;1343;8347;69650;NA;NA;NA;3095;538;NA;NA;231;3645;2744;NA;NA;NA;72227;4246;73673;NA;1574;11992;72394;NA;NA;NA
11.02.2005;74688;4144;NA;NA;1842;11139;74269;NA;NA;NA;2979;375;NA;NA;189;2794;2858;NA;NA;NA;77667;4519;82701;NA;2031;13933;77127;NA;NA;NA
12.02.2005;63979;4330;NA;NA;1906;10317;63633;NA;NA;NA;619;133;NA;NA;88;1906;1064;NA;NA;NA;64598;4463;77630;NA;1994;12223;64697;NA;NA;NA
13.02.2005;46910;4500;NA;NA;1681;12996;49126;NA;NA;NA;157;32;NA;NA;38;123;172;NA;NA;NA;47067;4532;45185;NA;1719;13119;49298;NA;NA;NA
14.02.2005;59611;2405;NA;NA;594;7432;58459;NA;NA;NA;3012;437;NA;NA;184;3203;2681;NA;NA;NA;62623;2842;58180;NA;778;10635;61140;NA;NA;NA
15.02.2005;57680;2190;NA;NA;688;7116;59231;NA;NA;NA;3104;468;NA;NA;200;3536;2470;NA;NA;NA;60784;2658;63024;NA;888;10652;61701;NA;NA;NA
16.02.2005;61770;2370;NA;NA;810;6844;61920;NA;NA;NA;3014;616;NA;NA;199;3908;2668;NA;NA;NA;64784;2986;67769;NA;1009;10752;64588;NA;NA;NA
17.02.2005;67049;2805;NA;NA;976;7462;64899;NA;NA;NA;2937;573;NA;NA;248;3598;2818;NA;NA;NA;69986;3378;71679;NA;1224;11060;67717;NA;NA;NA
18.02.2005;78243;3947;NA;NA;1467;10549;72589;NA;NA;NA;2913;404;NA;NA;147;2758;2587;NA;NA;NA;81156;4351;79587;NA;1614;13307;75176;NA;NA;NA
19.02.2005;61862;3689;NA;NA;1634;8682;56749;NA;NA;NA;625;113;NA;NA;71;1930;952;NA;NA;NA;62487;3802;68392;NA;1705;10612;57701;NA;NA;NA
20.02.2005;48606;4161;NA;NA;1739;11134;50027;NA;NA;NA;177;30;NA;NA;24;114;192;NA;NA;NA;48783;4191;46703;NA;1763;11248;50219;NA;NA;NA
21.02.2005;60868;2263;NA;NA;908;6717;62809;NA;NA;NA;3110;452;NA;NA;139;3200;2709;NA;NA;NA;63978;2715;69784;NA;1047;9917;65518;NA;NA;NA
22.02.2005;61540;2089;NA;NA;807;5838;64933;NA;NA;NA;3080;533;NA;NA;173;3637;2805;NA;NA;NA;64620;2622;69442;NA;980;9475;67738;NA;NA;NA
23.02.2005;64719;2346;NA;NA;963;6656;65974;NA;NA;NA;3003;613;NA;NA;219;3955;2940;NA;NA;NA;67722;2959;71216;NA;1182;10611;68914;NA;NA;NA
24.02.2005;65627;2570;NA;NA;1009;7327;68698;NA;NA;NA;3076;558;NA;NA;205;3691;3020;NA;NA;NA;68703;3128;75411;NA;1214;11018;71718;NA;NA;NA
25.02.2005;75455;3701;NA;NA;1398;10041;76400;NA;NA;NA;3088;415;NA;NA;141;2743;2802;NA;NA;NA;78543;4116;83757;NA;1539;12784;79202;NA;NA;NA
26.02.2005;71651;4746;NA;NA;2003;9961;67009;NA;NA;NA;611;130;NA;NA;62;1965;833;NA;NA;NA;72262;4876;74927;NA;2065;11926;67842;NA;NA;NA
27.02.2005;50336;4849;NA;NA;2118;11334;51883;NA;NA;NA;151;33;NA;NA;13;104;239;NA;NA;NA;50487;4882;46447;NA;2131;11438;52122;NA;NA;NA
28.02.2005;63650;2411;NA;NA;998;7152;65745;NA;NA;NA;3246;505;NA;NA;185;3194;2696;NA;NA;NA;66896;2916;71164;NA;1183;10346;68441;NA;NA;NA
01.03.2005;67482;2423;NA;NA;1067;7355;70721;NA;NA;NA;3149;545;NA;NA;207;3681;2775;NA;NA;NA;70631;2968;70727;NA;1274;11036;73496;NA;NA;NA
02.03.2005;68850;2443;NA;NA;1180;6983;72786;NA;NA;NA;3194;589;NA;NA;232;3945;2764;NA;NA;NA;72044;3032;73317;NA;1412;10928;75550;NA;NA;NA
03.03.2005;68119;2362;NA;NA;922;6991;71622;NA;NA;NA;3063;492;NA;NA;218;3629;2741;NA;NA;NA;71182;2854;74666;NA;1140;10620;74363;NA;NA;NA
04.03.2005;73832;3442;NA;NA;1446;9556;77073;NA;NA;NA;3004;378;NA;NA;141;2827;2420;NA;NA;NA;76836;3820;82472;NA;1587;12383;79493;NA;NA;NA
05.03.2005;65374;3436;NA;NA;1572;9666;71071;NA;NA;NA;613;149;NA;NA;69;1952;716;NA;NA;NA;65987;3585;70922;NA;1641;11618;71787;NA;NA;NA
06.03.2005;52669;4505;NA;NA;1946;11050;60649;NA;NA;NA;180;26;NA;NA;19;80;236;NA;NA;NA;52849;4531;42256;NA;1965;11130;60885;NA;NA;NA
07.03.2005;64717;2640;NA;NA;1022;7402;70748;NA;NA;NA;3047;537;NA;NA;156;3210;2667;NA;NA;NA;67764;3177;70450;NA;1178;10612;73415;NA;NA;NA
08.03.2005;61811;2365;NA;NA;973;7013;71103;NA;NA;NA;3148;543;NA;NA;193;3804;2767;NA;NA;NA;64959;2908;69008;NA;1166;10817;73870;NA;NA;NA
09.03.2005;67565;2919;NA;NA;1147;8260;76883;NA;NA;NA;3025;573;NA;NA;237;4088;2757;NA;NA;NA;70590;3492;73906;NA;1384;12348;79640;NA;NA;NA
10.03.2005;70849;3133;NA;NA;1138;9094;79010;NA;NA;NA;3242;558;NA;NA;252;3895;2825;NA;NA;NA;74091;3691;77216;NA;1390;12989;81835;NA;NA;NA
11.03.2005;79182;4436;NA;NA;1764;11741;85357;NA;NA;NA;3080;437;NA;NA;167;2891;2602;NA;NA;NA;82262;4873;83957;NA;1931;14632;87959;NA;NA;NA
12.03.2005;64914;4702;NA;NA;2348;11141;77246;NA;NA;NA;559;143;NA;NA;74;1950;844;NA;NA;NA;65473;4845;74214;NA;2422;13091;78090;NA;NA;NA
13.03.2005;59393;6752;NA;NA;2937;15064;72294;NA;NA;NA;117;48;NA;NA;21;139;274;NA;NA;NA;59510;6800;50302;NA;2958;15203;72568;NA;NA;NA
14.03.2005;67712;3101;NA;NA;1182;8755;66689;NA;NA;NA;3408;519;NA;NA;218;3428;3118;NA;NA;NA;71120;3620;74056;NA;1400;12183;69807;NA;NA;NA
15.03.2005;70966;2833;NA;NA;1190;7996;68370;NA;NA;NA;3379;540;NA;NA;262;3861;3039;NA;NA;NA;74345;3373;73436;NA;1452;11857;71409;NA;NA;NA
16.03.2005;75408;3314;NA;NA;1310;8997;70182;NA;NA;NA;3214;633;NA;NA;273;4218;3100;NA;NA;NA;78622;3947;74906;NA;1583;13215;73282;NA;NA;NA
17.03.2005;73762;3663;NA;NA;1397;10395;73125;NA;NA;NA;3439;604;NA;NA;278;3645;3206;NA;NA;NA;77201;4267;77639;NA;1675;14040;76331;NA;NA;NA
18.03.2005;82238;5769;NA;NA;2015;14483;78999;NA;NA;NA;3174;297;NA;NA;547;1640;2775;NA;NA;NA;85412;6066;84651;NA;2562;16123;81774;NA;NA;NA
19.03.2005;74972;7952;NA;NA;3795;16402;74403;NA;NA;NA;598;140;NA;NA;185;1936;891;NA;NA;NA;75570;8092;81228;NA;3980;18338;75294;NA;NA;NA
20.03.2005;64589;8158;NA;NA;3412;17938;62387;NA;NA;NA;155;56;NA;NA;9;178;233;NA;NA;NA;64744;8214;52986;NA;3421;18116;62620;NA;NA;NA
21.03.2005;71271;4088;NA;NA;1360;10217;67073;NA;NA;NA;3678;582;NA;NA;250;3441;2860;NA;NA;NA;74949;4670;70289;NA;1610;13658;69933;NA;NA;NA
22.03.2005;69634;3827;NA;NA;1284;10442;65032;NA;NA;NA;3725;678;NA;NA;312;4167;2907;NA;NA;NA;73359;4505;73080;NA;1596;14609;67939;NA;NA;NA
23.03.2005;72988;5627;NA;NA;1597;15101;72557;NA;NA;NA;3720;721;NA;NA;317;3994;3071;NA;NA;NA;76708;6348;79329;NA;1914;19095;75628;NA;NA;NA
24.03.2005;76410;10413;NA;NA;2973;18477;76473;NA;NA;NA;3355;581;NA;NA;301;3089;3207;NA;NA;NA;79765;10994;71799;NA;3274;21566;79680;NA;NA;NA
25.03.2005;54892;11283;NA;NA;4328;20146;61404;NA;NA;NA;138;99;NA;NA;106;314;314;NA;NA;NA;55030;11382;62579;NA;4434;20460;61718;NA;NA;NA
26.03.2005;58140;7440;NA;NA;3371;15823;60921;NA;NA;NA;733;118;NA;NA;93;1057;722;NA;NA;NA;58873;7558;75620;NA;3464;16880;61643;NA;NA;NA
27.03.2005;52173;6758;NA;NA;2434;15726;49448;NA;NA;NA;84;55;NA;NA;14;110;130;NA;NA;NA;52257;6813;46535;NA;2448;15836;49578;NA;NA;NA
28.03.2005;53318;11559;NA;NA;4754;20883;58515;NA;NA;NA;189;80;NA;NA;22;192;299;NA;NA;NA;53507;11639;60763;NA;4776;21075;58814;NA;NA;NA
29.03.2005;69288;8045;NA;NA;2365;16598;68605;NA;NA;NA;3569;565;NA;NA;258;3139;2788;NA;NA;NA;72857;8610;84067;NA;2623;19737;71393;NA;NA;NA
30.03.2005;70096;4827;NA;NA;1522;13578;67645;NA;NA;NA;3556;648;NA;NA;244;3913;2914;NA;NA;NA;73652;5475;83594;NA;1766;17491;70559;NA;NA;NA
31.03.2005;71288;4561;NA;NA;1451;12765;69325;NA;NA;NA;3461;640;NA;NA;373;4036;3002;NA;NA;NA;74749;5201;84506;NA;1824;16801;72327;NA;NA;NA
01.04.2005;79098;6135;NA;NA;2033;16638;75290;NA;NA;NA;3407;470;NA;NA;229;3122;2663;NA;NA;NA;82505;6605;90896;NA;2262;19760;77953;NA;NA;NA
02.04.2005;68267;7856;NA;NA;2827;18401;67787;NA;NA;NA;654;178;NA;NA;106;2042;719;NA;NA;NA;68921;8034;80292;NA;2933;20443;68506;NA;NA;NA
03.04.2005;59127;7401;NA;NA;3250;19468;58522;NA;NA;NA;147;74;NA;NA;16;159;246;NA;NA;NA;59274;7475;58624;NA;3266;19627;58768;NA;NA;NA
04.04.2005;68208;3813;NA;NA;1347;11506;67249;NA;NA;NA;3673;537;NA;NA;251;3437;2690;NA;NA;NA;71881;4350;80790;NA;1598;14943;69939;NA;NA;NA
05.04.2005;68991;3247;NA;NA;1139;9513;68392;NA;NA;NA;3611;553;NA;NA;314;3905;2850;NA;NA;NA;72602;3800;75783;NA;1453;13418;71242;NA;NA;NA
06.04.2005;70995;3634;NA;NA;1377;10612;71199;NA;NA;NA;3610;608;NA;NA;307;4151;2708;NA;NA;NA;74605;4242;80590;NA;1684;14763;73907;NA;NA;NA
07.04.2005;68896;3725;NA;NA;1283;11567;70016;NA;NA;NA;3419;608;NA;NA;374;3887;2811;NA;NA;NA;72315;4333;81919;NA;1657;15454;72827;NA;NA;NA
08.04.2005;72565;4707;NA;NA;1476;15203;76609;NA;NA;NA;3300;445;NA;NA;208;3010;2587;NA;NA;NA;75865;5152;81114;NA;1684;18213;79196;NA;NA;NA
09.04.2005;55020;4288;NA;NA;1300;15388;66733;NA;NA;NA;560;158;NA;NA;102;1940;659;NA;NA;NA;55580;4446;68070;NA;1402;17328;67392;NA;NA;NA
10.04.2005;51328;5476;NA;NA;1817;17711;55599;NA;NA;NA;110;57;NA;NA;19;138;225;NA;NA;NA;51438;5533;49680;NA;1836;17849;55824;NA;NA;NA
11.04.2005;66650;3195;NA;NA;1186;10652;65584;NA;NA;NA;3342;527;NA;NA;267;3444;2725;NA;NA;NA;69992;3722;75997;NA;1453;14096;68309;NA;NA;NA
12.04.2005;68674;3125;NA;NA;1166;9461;68343;NA;NA;NA;3653;586;NA;NA;273;3784;2839;NA;NA;NA;72327;3711;74257;NA;1439;13245;71182;NA;NA;NA
13.04.2005;70162;3277;NA;NA;1168;10478;72042;NA;NA;NA;3521;593;NA;NA;310;4141;2744;NA;NA;NA;73683;3870;74862;NA;1478;14619;74786;NA;NA;NA
14.04.2005;72041;3834;NA;NA;1251;11534;72776;NA;NA;NA;3517;653;NA;NA;323;3951;2755;NA;NA;NA;75558;4487;79708;NA;1574;15485;75531;NA;NA;NA
15.04.2005;74764;5020;NA;NA;1659;15283;76130;NA;NA;NA;3131;458;NA;NA;230;3068;2565;NA;NA;NA;77895;5478;84250;NA;1889;18351;78695;NA;NA;NA
16.04.2005;57140;4509;NA;NA;1009;16425;64883;NA;NA;NA;618;182;NA;NA;76;1906;624;NA;NA;NA;57758;4691;64034;NA;1085;18331;65507;NA;NA;NA
17.04.2005;44173;5176;NA;NA;1059;17186;44652;NA;NA;NA;156;54;NA;NA;21;129;235;NA;NA;NA;44329;5230;46830;NA;1080;17315;44887;NA;NA;NA
18.04.2005;66432;3437;NA;NA;1120;11396;65188;NA;NA;NA;3474;489;NA;NA;262;3323;2832;NA;NA;NA;69906;3926;76960;NA;1382;14719;68020;NA;NA;NA
19.04.2005;67502;2723;NA;NA;944;9430;66974;NA;NA;NA;3417;521;NA;NA;303;3745;2830;NA;NA;NA;70919;3244;75054;NA;1247;13175;69804;NA;NA;NA
20.04.2005;73160;3215;NA;NA;1037;10865;69573;NA;NA;NA;3360;702;NA;NA;341;4095;2763;NA;NA;NA;76520;3917;75111;NA;1378;14960;72336;NA;NA;NA
21.04.2005;71588;3659;NA;NA;1294;12170;71738;NA;NA;NA;3508;586;NA;NA;313;3858;2806;NA;NA;NA;75096;4245;81088;NA;1607;16028;74544;NA;NA;NA
22.04.2005;79022;5969;NA;NA;2154;17939;78183;NA;NA;NA;3444;475;NA;NA;243;3007;2736;NA;NA;NA;82466;6444;86726;NA;2397;20946;80919;NA;NA;NA
23.04.2005;62619;7112;NA;NA;2540;17940;64693;NA;NA;NA;667;187;NA;NA;96;1908;553;NA;NA;NA;63286;7299;63536;NA;2636;19848;65246;NA;NA;NA
24.04.2005;52227;6373;NA;NA;2182;18643;54015;NA;NA;NA;175;57;NA;NA;35;159;234;NA;NA;NA;52402;6430;47250;NA;2217;18802;54249;NA;NA;NA
25.04.2005;67797;4596;NA;NA;1955;13464;65849;NA;NA;NA;3502;299;NA;NA;199;1624;2852;NA;NA;NA;71299;4895;76721;NA;2154;15088;68701;NA;NA;NA
26.04.2005;70055;3619;NA;NA;1282;11242;67654;NA;NA;NA;3602;565;NA;NA;380;3099;2863;NA;NA;NA;73657;4184;75767;NA;1662;14341;70517;NA;NA;NA
27.04.2005;71763;3969;NA;NA;1271;11699;71893;NA;NA;NA;3612;603;NA;NA;496;3740;2864;NA;NA;NA;75375;4572;78694;NA;1767;15439;74757;NA;NA;NA
28.04.2005;73315;4216;NA;NA;1513;12996;71564;NA;NA;NA;3605;661;NA;NA;375;3874;2818;NA;NA;NA;76920;4877;81244;NA;1888;16870;74382;NA;NA;NA
29.04.2005;79591;7271;NA;NA;2237;16764;77358;NA;NA;NA;3439;487;NA;NA;266;2910;2715;NA;NA;NA;83030;7758;84138;NA;2503;19674;80073;NA;NA;NA
30.04.2005;66493;8620;NA;NA;3379;19561;67130;NA;NA;NA;648;195;NA;NA;136;1942;589;NA;NA;NA;67141;8815;70376;NA;3515;21503;67719;NA;NA;NA
01.05.2005;61560;8324;NA;NA;5493;21175;63729;NA;NA;NA;175;50;NA;NA;196;196;271;NA;NA;NA;61735;8374;52263;NA;5689;21371;64000;NA;NA;NA
02.05.2005;70455;3963;NA;NA;1634;12323;67351;NA;NA;NA;3523;506;NA;NA;301;3435;2950;NA;NA;NA;73978;4469;75621;NA;1935;15758;70301;NA;NA;NA
03.05.2005;70103;3849;NA;NA;1452;11478;68867;NA;NA;NA;3768;686;NA;NA;345;3731;2925;NA;NA;NA;73871;4535;69373;NA;1797;15209;71792;NA;NA;NA
04.05.2005;75297;10126;NA;NA;3025;17017;81527;NA;NA;NA;3525;570;NA;NA;477;3277;3175;NA;NA;NA;78822;10696;83067;NA;3502;20294;84702;NA;NA;NA
05.05.2005;50729;13529;NA;NA;5359;21208;53780;NA;NA;NA;158;101;NA;NA;50;300;240;NA;NA;NA;50887;13630;52742;NA;5409;21508;54020;NA;NA;NA
06.05.2005;64549;7668;NA;NA;3001;19157;62615;NA;NA;NA;2008;428;NA;NA;275;2819;2296;NA;NA;NA;66557;8096;74466;NA;3276;21976;64911;NA;NA;NA
07.05.2005;55069;13995;NA;NA;3764;19626;58005;NA;NA;NA;543;216;NA;NA;78;1771;490;NA;NA;NA;55612;14211;60299;NA;3842;21397;58495;NA;NA;NA
08.05.2005;60882;17022;NA;NA;6314;23757;65189;NA;NA;NA;176;278;NA;NA;53;276;293;NA;NA;NA;61058;17300;62322;NA;6367;24033;65482;NA;NA;NA
09.05.2005;67600;5723;NA;NA;1619;17139;68474;NA;NA;NA;3611;532;NA;NA;268;3423;2967;NA;NA;NA;71211;6255;76479;NA;1887;20562;71441;NA;NA;NA
10.05.2005;68991;3569;NA;NA;1343;10737;68130;NA;NA;NA;3523;541;NA;NA;303;3896;2858;NA;NA;NA;72514;4110;64278;NA;1646;14633;70988;NA;NA;NA
11.05.2005;73272;4212;NA;NA;1463;11640;71585;NA;NA;NA;3489;624;NA;NA;338;4008;2790;NA;NA;NA;76761;4836;73990;NA;1801;15648;74375;NA;NA;NA
12.05.2005;72544;5385;NA;NA;1573;13563;73403;NA;NA;NA;3688;602;NA;NA;328;3694;2849;NA;NA;NA;76232;5987;80499;NA;1901;17257;76252;NA;NA;NA
13.05.2005;78726;10859;NA;NA;3069;19609;76701;NA;NA;NA;3506;523;NA;NA;246;3017;2733;NA;NA;NA;82232;11382;90122;NA;3315;22626;79434;NA;NA;NA
14.05.2005;56953;14563;NA;NA;3194;21149;63364;NA;NA;NA;687;239;NA;NA;123;1835;607;NA;NA;NA;57640;14802;70605;NA;3317;22984;63971;NA;NA;NA
15.05.2005;54545;9509;NA;NA;3572;19441;54167;NA;NA;NA;107;55;NA;NA;10;172;248;NA;NA;NA;54652;9564;50523;NA;3582;19613;54415;NA;NA;NA
16.05.2005;48093;10448;NA;NA;3115;19263;48965;NA;NA;NA;235;102;NA;NA;120;256;219;NA;NA;NA;48328;10550;49255;NA;3235;19519;49184;NA;NA;NA
17.05.2005;70158;5147;NA;NA;1545;13270;70168;NA;NA;NA;3742;516;NA;NA;319;3594;2952;NA;NA;NA;73900;5663;79415;NA;1864;16864;73120;NA;NA;NA
18.05.2005;72216;4855;NA;NA;1360;12943;70653;NA;NA;NA;3744;622;NA;NA;306;3779;2805;NA;NA;NA;75960;5477;75980;NA;1666;16722;73458;NA;NA;NA
19.05.2005;73676;4879;NA;NA;1538;12606;70277;NA;NA;NA;3796;637;NA;NA;367;3659;2752;NA;NA;NA;77472;5516;79556;NA;1905;16265;73029;NA;NA;NA
20.05.2005;79944;7135;NA;NA;2189;16439;75814;NA;NA;NA;3451;448;NA;NA;207;2941;2674;NA;NA;NA;83395;7583;85382;NA;2396;19380;78488;NA;NA;NA
21.05.2005;65422;10362;NA;NA;2702;20148;61506;NA;NA;NA;631;211;NA;NA;101;2005;581;NA;NA;NA;66053;10573;66835;NA;2803;22153;62087;NA;NA;NA
22.05.2005;53979;8776;NA;NA;2359;20789;54983;NA;NA;NA;138;76;NA;NA;15;218;255;NA;NA;NA;54117;8852;51444;NA;2374;21007;55238;NA;NA;NA
