;PW + Busse/Car;;;;;;;;;;LW;;;;;;;;;;Gesamtergebnis;;;;;;;;;
Datum;UMF. BERN OST;SAN BERNARDINO;BASEL; CHIASSO;SIMPLON;GOTTHARDTUNNEL;COPPET;WUERENLOS;RENENS;AESCHERTUNNEL;UMF. BERN OST;SAN BERNARDINO;BASEL; CHIASSO;SIMPLON;GOTTHARDTUNNEL;COPPET;WUERENLOS;RENENS;AESCHERTUNNEL;UMF. BERN OST;SAN BERNARDINO;BASEL; CHIASSO;SIMPLON;GOTTHARDTUNNEL;COPPET;WUERENLOS;RENENS;AESCHERTUNNEL
2005.416667;69314.38078;3318.835419;NA;NA;1702.519879;13845.68913;67927.86568;NA;NA;NA;2631.657454;361.5239988;NA;NA;123.9253474;2903.197662;2162.785177;NA;NA;NA;71946.06594;3689.426076;73044.4995;NA;1826.445226;16748.88679;70388.95551;NA;NA;NA
2005.4375;68360.51925;3995.578615;NA;NA;1833.699609;13942.92892;69105.54266;NA;NA;NA;2484.303619;244.7614972;NA;NA;180.4501702;3121.600224;2176.776073;NA;NA;NA;70845.04814;4299.263606;73284.23544;NA;2014.149779;17064.52914;70282.0476;NA;NA;NA
2005.458333;69818.70907;4522.475197;NA;NA;2335.084646;14506.98381;69098.90531;NA;NA;NA;2367.629899;227.6811264;NA;NA;191.4481437;2881.578428;2113.318294;NA;NA;NA;72186.7516;4803.682333;72849.69227;NA;2526.532789;17388.56224;70532.44675;NA;NA;NA
2005.479167;68001.67021;4491.776211;NA;NA;2168.818997;14340.41203;70984.59662;NA;NA;NA;2474.991114;226.3092442;NA;NA;192.3239681;3017.366487;2267.872767;NA;NA;NA;70477.26131;4788.539188;72542.07075;NA;2361.142965;17357.77852;70903.91022;NA;NA;NA
2005.5;67732.92577;5269.943323;NA;NA;2433.252528;14146.06309;70549.71538;NA;NA;NA;2437.332305;387.2147151;NA;NA;222.6841784;2633.047757;2130.444794;NA;NA;NA;70171.04541;5736.383857;72632.09541;NA;2655.936706;16779.11085;70399.25433;NA;NA;NA
2005.520833;69102.37334;5209.266743;NA;NA;2405.450756;13313.57347;71694.45361;NA;NA;NA;2467.85294;413.7713445;NA;NA;221.8327607;2698.399158;2136.705383;NA;NA;NA;71571.14802;5695.793938;74946.45899;NA;2627.283517;16011.97263;71896.56634;NA;NA;NA
2005.541667;68712.78542;4666.675641;NA;NA;2526.822717;13130.40538;69770.90888;NA;NA;NA;2355.996502;366.7127099;NA;NA;217.7895023;2582.206187;2058.786471;NA;NA;NA;71069.83806;5098.128829;72997.20268;NA;2744.612219;15712.61157;70354.23367;NA;NA;NA
2005.5625;67036.18186;6050.830168;NA;NA;2748.359168;14116.70028;68932.95198;NA;NA;NA;2180.06937;337.7236186;NA;NA;196.6360248;2523.015115;1885.431441;NA;NA;NA;69217.44178;6458.983092;74812.20452;NA;2944.995193;16639.71539;69527.64622;NA;NA;NA
2005.583333;66062.73909;6495.541102;NA;NA;2857.250264;13945.16575;65383.93056;NA;NA;NA;2034.384405;341.9875571;NA;NA;180.731219;2256.609893;1590.508111;NA;NA;NA;68098.36138;6830.576782;71223.46745;NA;3037.981483;16201.77564;68213.24586;NA;NA;NA
2005.604167;68503.70907;5846.381613;NA;NA;2823.093819;13092.95286;69152.37044;NA;NA;NA;2441.190875;422.963583;NA;NA;190.3012831;2582.084991;2102.190423;NA;NA;NA;70946.18517;6256.304987;75987.06962;NA;3013.395102;15675.03785;70579.72136;NA;NA;NA
2005.625;64116.27018;5945.031824;NA;NA;2561.825051;13300.84198;68749.28733;NA;NA;NA;2352.399913;443.2793328;NA;NA;206.5354458;2337.83721;2024.193641;NA;NA;NA;66470.00265;6374.852127;76352.94015;NA;2768.360497;15638.67919;68506.14158;NA;NA;NA
2005.645833;60151.0481;9528.072718;NA;NA;2460.699321;3634.71863;69939.79141;NA;NA;NA;2294.29874;1126.578666;NA;NA;417.8184587;1206.935382;2040.43489;NA;NA;NA;62446.67242;10640.79789;74045.93332;NA;2878.51778;4841.654012;69587.55346;NA;NA;NA
2005.666667;67833.15102;5273.368374;NA;NA;2248.068481;12710.85195;67322.39161;NA;NA;NA;2528.140201;451.821105;NA;NA;225.8312222;2574.024354;2079.228164;NA;NA;NA;70362.60982;5710.941528;74009.93042;NA;2473.899703;15284.8763;67007.83014;NA;NA;NA
2005.6875;66188.08469;4837.418422;NA;NA;1814.678157;12428.32315;67054.96218;NA;NA;NA;2462.817941;408.2344592;NA;NA;204.6631417;2615.108114;2254.814136;NA;NA;NA;68652.21424;5231.010468;73631.68866;NA;2019.341299;15043.43127;67901.09492;NA;NA;NA
2005.708333;66600.55918;5727.614858;NA;NA;2035.302234;13549.11197;68426.4837;NA;NA;NA;2366.948578;440.5640736;NA;NA;203.6631326;2563.725497;2144.224023;NA;NA;NA;68968.77329;6153.563644;74183.17071;NA;2238.965366;16112.83747;68379.38375;NA;NA;NA
