time,value
2006-01-01,0.07024172468890022
2006-01-02,0.06988983887010747
2006-01-03,0.0690914299064076
2006-01-04,0.06784649862346726
2006-01-05,0.06615504634908831
2006-01-06,0.06401707251500532
2006-01-07,0.06143257562443871
2006-01-08,0.05840155818344961
2006-01-09,0.054920728383132555
2006-01-10,0.05099008789749426
2006-01-11,0.04660963746838753
2006-01-12,0.04177937401998477
2006-01-13,0.03649930138960222
2006-01-14,0.03076941641554498
2006-01-15,0.024589720375098878
2006-01-16,0.017961849814184916
2006-01-17,0.01088580603327749
2006-01-18,0.0033615888452764864
2006-01-19,-0.004610801860012614
2006-01-20,-0.013031367336855837
2006-01-21,-0.02190010476759774
2006-01-22,-0.031217016130458575
2006-01-23,-0.04098556667510067
2006-01-24,-0.05120575806570038
2006-01-25,-0.061877585239994204
2006-01-26,-0.07300105346173247
2006-01-27,-0.08457615715393452
2006-01-28,-0.09660290344743494
2006-01-29,-0.10908128671130157
2006-01-30,-0.12199865284588896
2006-01-31,-0.1353550008805069
2006-02-01,-0.14915033561561053
2006-02-02,-0.1603572348896396
2006-02-03,-0.16897570432745113
2006-02-04,-0.17500573888319515
2006-02-05,-0.1784473412102816
2006-02-06,-0.17934924807073216
2006-02-07,-0.17771146146504435
2006-02-08,-0.17353397899896983
2006-02-09,-0.1668168011440443
2006-02-10,-0.1575599304630675
2006-02-11,-0.14576336257328038
2006-02-12,-0.13142710130459356
2006-02-13,-0.11436275728245704
2006-02-14,-0.0945703297351308
2006-02-15,-0.0720498211304843
2006-02-16,-0.046801228612537216
2006-02-17,-0.01882455383270809
2006-02-18,0.011880202323089506
2006-02-19,0.04531304265077374
2006-02-20,0.08074560314514834
2006-02-21,0.11817788728968459
2006-02-22,0.15760989281340088
2006-02-23,0.19904162074592513
2006-02-24,0.24247307017339104
2006-02-25,0.287904241792619
2006-02-26,0.335335134965872
2006-02-27,0.3875818500718644
2006-02-28,0.44464438408471985
2006-03-01,0.5065227408542299
2006-03-02,0.5628415346398139
2006-03-03,0.6136007646792496
2006-03-04,0.6588004322596532
2006-03-05,0.6984405384087964
2006-03-06,0.721633034219904
2006-03-07,0.728377923906864
2006-03-08,0.7186752036548061
2006-03-09,0.6925248758669778
2006-03-10,0.6499269405854733
2006-03-11,0.5908813958072585
2006-03-12,0.5153882432760426
2006-03-13,0.46554457037724006
2006-03-14,0.44135037842996994
2006-03-15,0.44280566488011
2006-03-16,0.46991043436138824
2006-03-17,0.5226646800474626
2006-03-18,0.6010684072476877
2006-03-19,0.7051216157756013
2006-03-20,0.6720618605402215
2006-03-21,0.5018891432980706
2006-03-22,0.19460346099329584
2006-03-23,-0.24979518515622168
2006-03-24,-0.8313067932075953
2006-03-25,-1.5499313662050103
2006-03-26,-2.4056689022268323
2006-03-27,-2.7692214095900205
2006-03-28,-2.6405888923332803
2006-03-29,-2.019771346844591
2006-03-30,-0.906768774191546
2006-03-31,0.6984188258202515
2006-04-01,2.795791453549551
2006-04-02,5.401254752422357
2006-04-03,7.222837074932878
2006-04-04,8.260538422664967
2006-04-05,38.51246722023028
2006-04-06,7.984298185114463
2006-04-07,6.670356601772809
2006-04-08,4.572534041905966
2006-04-09,1.690830504740604
2006-04-10,-0.6980293084640152
2006-04-11,-2.5940454006357845
2006-04-12,-3.997217766901554
2006-04-13,-4.907546412993819
2006-04-14,-5.325031335420595
2006-04-15,-5.249672537265778
2006-04-16,-4.681470016270661
2006-04-17,-4.171581149132057
2006-04-18,-3.7200059350611694
2006-04-19,-3.326744375342031
2006-04-20,-2.9917964703492848
2006-04-21,-2.7151622178952914
2006-04-22,-2.4968416216401215
2006-04-23,-2.3368346772492057
2006-04-24,-2.379462028529047
2006-04-25,-2.624723673397982
2006-04-26,-3.0726196116873004
2006-04-27,-3.7231498449507967
2006-04-28,-4.576314370853357
2006-04-29,-5.632113191827403
2006-04-30,-6.890546308393084
2006-05-01,-7.839611458610424
2006-05-02,27.044446484943972
2006-05-03,-8.830635919150136
2006-05-04,-8.87259522815112
2006-05-05,-8.612185922815371
2006-05-06,-8.049408002672873
2006-05-07,-7.184261468368932
2006-05-08,-6.081001714945264
2006-05-09,-4.739628741686603
2006-05-10,-3.16014255007315
2006-05-11,-1.3425431379666097
2006-05-12,0.7131694943125533
2006-05-13,3.0069953463514993
2006-05-14,5.538934418657319
2006-05-15,30.067398128509474
2006-05-16,8.37333787448356
2006-05-17,8.675802258602264
2006-05-18,8.235108411762917
2006-05-19,7.051256335682288
2006-05-20,5.124246030098463
2006-05-21,2.4540774947396518
2006-05-22,0.2798968678628224
2006-05-23,-1.3982958509364103
2006-05-24,-2.580500663287294
2006-05-25,-3.2667175662620966
2006-05-26,-3.4569465636038537
2006-05-27,-3.1511876516680406
2006-05-28,-2.3494408330747785
2006-05-29,-1.6745807278197198
2006-05-30,-1.1266073385236055
2006-05-31,-0.7055206617232024
2006-06-01,-0.41132069877771826
2006-06-02,-0.24878083621837632
2006-06-03,-0.2179010752921542
2006-06-04,-0.31868141586724086
2006-06-05,-0.3900207600308203
2006-06-06,-0.4319191097439923
2006-06-07,-0.44437646504426986
2006-06-08,-0.42739282510508403
2006-06-09,-0.38096819166299056
2006-06-10,-0.30510256282385306
2006-06-11,-0.19979593821824615
2006-06-12,-0.10671571686086168
2006-06-13,-0.02586189907816916
2006-06-14,0.04276551619619795
2006-06-15,0.09916652869278408
2006-06-16,0.14334114020679856
2006-06-17,0.1752893472475101
2006-06-18,0.1950111522663729
2006-06-19,0.21328347329873765
2006-06-20,0.23010631028547834
2006-06-21,0.24547966556231415
2006-06-22,0.25940353761242285
2006-06-23,0.2718779226938395
2006-06-24,0.28290282680149836
2006-06-25,0.2924782462477751
2006-06-26,0.2978167886797909
2006-06-27,0.2989184548446122
2006-06-28,0.2957832424774498
2006-06-29,0.28841115121015015
2006-06-30,0.2768021853238505
2006-07-01,0.2609563405385149
2006-07-02,0.24438150282196958
2006-07-03,0.2277987519450555
2006-07-04,0.21120808715485317
2006-07-05,0.19460951142240113
2006-07-06,0.1780030224296354
2006-07-07,0.1613886195077665
2006-07-08,0.14476630365334664
2006-07-09,0.12813607518667247
2006-07-10,0.11131087052457822
2006-07-11,0.09429068849029854
2006-07-12,0.0770755300878978
2006-07-13,0.059665393936910505
2006-07-14,0.0420602816220228
2006-07-15,0.024260192260454616
2006-07-16,0.006265125721606424
2006-07-17,-0.01187435837662143
2006-07-18,-0.03015826197471938
2006-07-19,-0.048586582850848714
2006-07-20,-0.06715932066139452
2006-07-21,-0.08587647956345279
2006-07-22,-0.10473805422248539
2006-07-23,-0.12374404748115708
2006-07-24,-0.14291595140088553
2006-07-25,-0.16225376396797664
2006-07-26,-0.181757485724809
2006-07-27,-0.20142711666330193
2006-07-28,-0.2212626569560907
2006-07-29,-0.24126410696004363
2006-07-30,-0.2614314674302438
2006-07-31,-0.2817266425357179
2006-08-01,-0.3021496350539401
2006-08-02,-0.31872460484190235
2006-08-03,-0.3314515527177786
2006-08-04,-0.3403304805965881
2006-08-05,-0.34536138666310023
2006-08-06,-0.34654426970004515
2006-08-07,-0.34401477495406674
2006-08-08,-0.3377729016578499
2006-08-09,-0.327818650657127
2006-08-10,-0.31415202036680157
2006-08-11,-0.2967730098954924
2006-08-12,-0.27568162148008746
2006-08-13,-0.25087785523227524
2006-08-14,-0.22184027572922282
2006-08-15,-0.1885688825806522
2006-08-16,-0.15106367597946857
2006-08-17,-0.10932465701103489
2006-08-18,-0.06335182583298682
2006-08-19,-0.013145180168939063
2006-08-20,0.04129527674652067
2006-08-21,0.0979542746269022
2006-08-22,0.15683181202853191
2006-08-23,0.21792788826920706
2006-08-24,0.28124250592360056
2006-08-25,0.3467756623488114
2006-08-26,0.41452735946224273
2006-08-27,0.48449759634042167
2006-08-28,0.5644779395136439
2006-08-29,0.6544683902623891
2006-08-30,0.7544689487296736
2006-08-31,0.8644796128859742
2006-09-01,0.98450038436612
2006-09-02,1.0948124056445128
2006-09-03,1.195415676655081
2006-09-04,1.2561852548471997
2006-09-05,1.277121140539336
2006-09-06,1.2582233335407498
2006-09-07,1.199491835449713
2006-09-08,1.1009266444961447
2006-09-09,0.9625277623528117
2006-09-10,0.784295186634342
2006-09-11,0.6827027339998981
2006-09-12,0.6577504052873415
2006-09-13,0.7094381996869643
2006-09-14,0.8377661173205997
2006-09-15,1.0427341578508873
2006-09-16,1.3243423207546563
2006-09-17,1.6825906087444853
2006-09-18,1.6671494724809897
2006-09-19,1.2780189109255922
2006-09-20,0.5151989269013004
2006-09-21,-0.6213104808973711
2006-09-22,-2.131509312632817
2006-09-23,-4.015397569463415
2006-09-24,-6.272975249718989
2006-09-25,-7.163106788501178
2006-09-26,-6.685792185883521
2006-09-27,-4.841031443178197
2006-09-28,-1.6288245565511374
2006-09-29,2.950828470319907
2006-09-30,8.897927639840116
2006-10-01,16.212472952912997
2006-10-02,21.353336823412185
2006-10-03,24.320519251747164
2006-10-04,25.114020239889015
2006-10-05,23.73383978630003
2006-10-06,20.179977893528424
2006-10-07,14.452434555912074
2006-10-08,6.551209778117693
2006-10-09,0.05780552801710037
2006-10-10,-5.027778195127404
2006-10-11,-8.70554139276851
2006-10-12,-10.97548406250969
2006-10-13,-11.837606207313009
2006-10-14,-11.291907825894247
2006-10-15,-9.338388917536705
2006-10-16,-7.718185051004475
2006-10-17,-6.431296222029548
2006-10-18,-5.4777224346829705
2006-10-19,-4.8574636858277955
2006-10-20,-4.570519976210649
2006-10-21,-4.6168913069097455
2006-10-22,-4.996577677820956
2006-10-23,-5.259249537918834
2006-10-24,-5.404906892674214
2006-10-25,-5.4335497371403845
2006-10-26,-5.345178075831877
2006-10-27,-5.139791906029557
2006-10-28,-4.8173912281027915
2006-10-29,-4.377976042874881
2006-10-30,-3.9380201663190313
2006-10-31,-3.4975235991554428
2006-11-01,-3.0564863408379583
2006-11-02,-2.6554837072618867
2006-11-03,-2.29451569837323
2006-11-04,-1.9735823115429678
2006-11-05,-1.692683551906562
2006-11-06,-1.4216944661751345
2006-11-07,-1.1606150560118635
2006-11-08,-0.9094453205615558
2006-11-09,-0.6681852598889915
2006-11-10,-0.4368348753383753
2006-11-11,-0.21539416611504159
2006-11-12,-0.0038631324797631095
2006-11-13,0.18996662929525954
2006-11-14,0.36609512024400104
2006-11-15,0.5245223370345435
2006-11-16,0.6652482821580818
2006-11-17,0.7882729557814496
2006-11-18,0.8935963580014938
2006-11-19,0.9812184861624988
2006-11-20,1.0531547326377275
2006-11-21,1.1094050957968307
2006-11-22,1.1499695761137616
2006-11-23,1.1748481751863888
2006-11-24,1.1840408908086424
2006-11-25,1.177547722605489
2006-11-26,1.155368672772811
2006-11-27,1.1169818549727726
2006-11-28,1.0623872719343304
2006-11-29,0.9915849202861757
2006-11-30,0.904574800997139
2006-12-01,0.801356914541044
2006-12-02,0.7027079697905343
2006-12-03,0.6086279664800909
2006-12-04,0.5192542891950112
2006-12-05,0.4345869353041767
2006-12-06,0.354625907534853
2006-12-07,0.27937120589627185
2006-12-08,0.20882282917218653
2006-12-09,0.14298077751307048
2006-12-10,0.08184504930952485
2006-12-11,0.0253708225531053
2006-12-12,-0.026441904364473245
2006-12-13,-0.07359313325313721
2006-12-14,-0.11608286145961522
2006-12-15,-0.15391109182532858
2006-12-16,-0.18707782183257393
2006-12-17,-0.21558305038827008
2006-12-18,-0.23937926013722155
2006-12-19,-0.2584664466163975
2006-12-20,-0.2728446092326564
2006-12-21,-0.2825137515158076
2006-12-22,-0.2874738694561412
2006-12-23,-0.28772496768865174
2006-12-24,-0.28326704238103595
